Payments,CA,ANZ CA,12239,,,
Payments,CA,HDFC EB,12205,,,
Payments,OD,FBL OD - EB,12405,,,
Escrow,CA,IND CA,12295,,,
Cash Bank,CA,FBL CA,12235,,,
Cash Bank,CA,IDFC CA,12336,,,
Cash Bank,CA,AXIS_CA,12325,,,
Cash Bank,CA,AXIS T-1,12325,,,
Cash Bank,CA,Axis_FR,12402,,,
Cash Bank,CA,HDFC_FR,12368,,,
Cash Bank,CA,SBI_FR,12387,,,z
Cash Bank,CA,SBI_Bangalore,12301,,,
Cash Bank,CA,SBI_Console,12302,,,
Cash Bank,CA,SBI_Main A/c,12300,,,
Cash Bank,CA,BOB Lucknow,12225,,,
Cash Bank,CA,BOB Gorakhpur,12363,,,
Cash Bank,CA,BOB Patna,12366,,,
Cash Bank,CA,BOB Varanasi,12367,,,
Cash Bank,CA,BOB Allahabad,12369,,,
Cash Bank,CA,BOB Gaya,12371,,,
Cash Bank,CA,BOB Muzaferpur,12372,,,
Cash Bank,CA,BOB FORBESGANJ,12374,,,
Cash Bank,CA,BOB DHAMNOD,12381,,,
Cash Bank,CA,BOB AGRA,12385,,,
Cash Bank,CA,BOB KANPUR,12386,,,
Cash Bank,CA,SYN Anantapur,12364,,,
Cash Bank,CA,KVB,12373,,,
Cash Bank,CA,CBI CA,12376,,,
Cash Bank,CA,IDBI_Console,12383,,,
Cash Bank,CA,SBI CA,12248,,,
Cash Bank,CA,HDFC CA,12377,,,
Cash Bank,CA,UBI,12280,,,
Cash Bank,CA,AU Small,12362,,,
Cash Bank,CA,LVB,12320,,,
Payments,CA,SYN,12220,,,
Cash Bank,CA,BARCLAYS,12355,,,
Escrow-CS,CA,IDFC ESCROW,12337,,,
Share Aplication,CA,ANZ Gratuity,,,,
Cash Bank,CA,Axis_Own CRO,12407,,,
Cash Bank,CA,ICICI CRA,12408,,,
Cash Bank,CA,ICICI Own CRO,12409,,,
Cash Bank,CA,ICICI PPM,12410,,,
Cash Bank,CA,ICICI ALT CA,12411,,,
Cash Bank,CA,ICICI CA,12412,,,
Future7,Future,Future CA 7,CA,,,
Future8,Future,Future CA 8,CA,,,
Future9,Future,Future CA 9,CA,,,
Future10,Future,Future CA 10,CA,,,
Future11,Future,Future CA 11,CA,,,
OD,OD,FBL OD,12290,,,
OD,OD,ANZ OD,12240,,,
OD,OD,RBL OD,12255,,,
OD,OD,IND OD,12375,,,
OD,OD,IDFC OD,12335,,,
OD,OD,KOTAK OD,12378,,,
OD,OD,BOB OD,12340,,,
OD,OD,HDFC OD,12206,,,
OD,OD,ICICI OD,12380,,,
OD,OD,SBI OD,12384,,,
OD,OD,YES OD,12330,,,
OD,OD,HSBC OD,12211,,,
OD,OD,SBM OD,12382,,,
OD,Future,Future OD 1,OD,,,
OD,Future,Future OD 2,OD,,,
OD,Future,Future OD 3,OD,,,
OD,Future,Future OD 4,OD,,,
WCDL,WCDL,FBL WCDL,21611,,,
WCDL,WCDL,ANZ WCDL,21612,,,
WCDL,WCDL,RBL WCDL,21613,,,
WCDL,WCDL,IND WCDL,21614,,,
WCDL,WCDL,IDFC WCDL,21615,,,
WCDL,WCDL,KOTAK WCDL,21618,,,
WCDL,WCDL,BOB WCDL,12340,,,
WCDL,WCDL,HDFC WCDL,21617,,,
WCDL,WCDL,ICICI WCDL,21620,,,
WCDL,WCDL,Bajaj WCDL,21604,,,
WCDL,WCDL,YES WCDL,21622,,,
WCDL,WCDL,SBI WCDL,21623,,,
WCDL,WCDL,HSBC WCDL,21624,,,
WCDL,Future,Future WCDL 1,,,,
WCDL,Future,Future WCDL 2,,,,
WCDL,Future,Future WCDL 3,,,,
WCDL,Future,Future WCDL 4,,,,
Term Loan,TL,IND TL,,,,
